route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","block_id","shape_id"
"550065","0","550065_volta_0_0","Santo Andre (Terminal Metropolitano Santo Andre Leste)",,"1",,"550065_volta"
"550117","0","550117_volta_0_0","Santo Andre (Terminal Metropolitano Santo Andre-Leste)",,"1",,"550117_volta"
"550117","0","550117_ida_0_0","Sao Paulo (Jardim Esther)",,"0",,"550117_ida"
"550181","0","550181_volta_0_0","Sao Bernardo do Campo (Terminal Metropolitano Ferrazopolis)",,"1",,"550181_volta"
"550181","0","550181_ida_0_0","Sao Paulo (Glicerio)",,"0",,"550181_ida"
"550187","0","550187_ida_0_0","SAO PAULO (JD TIETE)   -   RUA NAZARENO OPOSTO Nº 75",,"0",,"550187_ida"
"550187","0","550187_volta_0_0","SANTO ANDRE (HOSPITAL MARIO COVAS)     - RUA MACAUBA, 126",,"1",,"550187_volta"
"550242","0","550242_ida_0_0","Sao Bernardo do Campo (Terminal Metropolitano Ferrazopolis)",,"0",,"550242_ida"
"550242","0","550242_volta_0_0","Santo Andre (Terminal Metropolitano Santo Andre Oeste)",,"1",,"550242_volta"
"551069","0","551069_ida_0_0","Sao Paulo (Jardim Planalto)",,"0",,"551069_ida"
"551069","0","551069_volta_0_0","Santo Andre (Jardim Santa Cristina)",,"1",,"551069_volta"
"551202","0","551202_ida_0_0","Sao Paulo (Terminal Rodoviario Tiete)",,"0",,"551202_ida"
"551202","0","551202_volta_0_0","Sao Bernardo do Campo (Jardim Las Palmas)",,"1",,"551202_volta"
"551212","0","551212_ida_0_0","Sp (Conjunto Habitacional Teotonio Vilela)",,"0",,"551212_ida"
"551212","0","551212_volta_0_0","Santo Andre (Terminal Metropolitano Santo Andre - Leste)",,"1",,"551212_volta"
"551254","0","551254_volta_0_0","Sao Paulo (Terminal Metropolitano Sao Mateus)",,"1",,"551254_volta"
"551254","0","551254_ida_0_0","Sao Bernardo do Campo  (Terminal Metropolitano Ferrazopolis)",,"0",,"551254_ida"
"551383","0","551383_volta_0_0","Suzano (Cidade Edson)",,"1",,"551383_volta"
"551383","0","551383_ida_0_0","Mogi das Cruzes (Estacao Cptm Estudantes)",,"0",,"551383_ida"
